Atl	Acr	Btl	Bcr	Err	Deg	R	T0	T1	X	T3	T4	Y
13	1	1	1	2	1.302737	0.000000	0.998843	-0.022327	0.000000	0.023150	1.000940	0.000000
13	1	0	1	0	1.294262	0.714620	0.999103	-0.021934	-1094.235474	0.023247	1.000678	42.615347
13	1	12	1	0	1.295545	0.795283	0.999061	-0.022590	48.006688	0.022635	1.000685	-815.652927
12	1	13	1	0	1.283638	0.474501	0.999606	-0.022189	34.451541	0.022602	0.999326	902.883530
13	1	13	1	0	1.285851	1.120312	0.999225	-0.022093	51.304266	0.022796	1.000632	45.744011
12	1	2	1	2	1.286668	0.000000	0.999003	-0.021783	0.000000	0.023105	0.999540	0.000000
12	1	11	1	0	1.282148	0.837073	0.999334	-0.022363	28.410098	0.022380	0.999778	-819.613807
12	1	1	1	0	1.300532	0.712763	0.999224	-0.022423	-1113.816625	0.022956	0.999634	40.748138
12	1	12	1	0	1.293308	1.212015	0.999442	-0.022685	32.773521	0.022441	0.999379	39.533075
12	1	0	1	2	1.292054	0.000000	0.999483	-0.022030	0.000000	0.023053	0.999372	0.000000
11	1	12	1	0	1.325750	0.540397	0.999361	-0.023767	14.997250	0.022483	0.999098	901.994464
11	1	3	1	2	1.324745	0.000000	0.998416	-0.022973	0.000000	0.023254	1.000565	0.000000
11	1	10	1	0	1.310266	1.084259	0.999056	-0.022880	7.728401	0.022852	1.000380	-820.153383
11	1	11	1	0	1.314612	1.443707	0.999253	-0.023445	12.116636	0.022423	0.999497	45.518780
11	1	2	1	0	1.319143	0.667467	0.998922	-0.022865	-1134.885531	0.023148	0.999258	45.899533
10	1	11	1	0	1.299600	0.631798	0.999197	-0.022695	-4.163021	0.022618	0.998185	902.009579
10	1	9	1	0	1.343695	0.981143	0.999469	-0.023722	-9.455146	0.023144	0.998553	-819.241882
10	1	4	1	2	1.355037	0.000000	0.997740	-0.024260	0.000000	0.022967	0.998813	0.000000
10	1	3	1	0	1.309800	0.441550	0.998361	-0.022225	-1153.568868	0.023449	0.999251	46.082701
10	1	10	1	0	1.295342	1.477301	0.999001	-0.022132	-7.939594	0.023048	0.999067	37.640301
9	1	10	1	0	1.299664	0.572894	0.999089	-0.022611	-26.706158	0.022733	0.999562	900.175944
9	1	8	1	0	1.328705	1.588828	0.999367	-0.023477	-31.673950	0.022874	0.999001	-818.746002
9	1	5	1	2	1.308057	0.000000	0.997333	-0.022939	0.000000	0.022636	0.998606	0.000000
9	1	9	1	0	1.348059	1.699876	0.999558	-0.024203	-28.909562	0.022829	0.999047	40.836048
9	1	4	1	0	1.359372	0.479639	0.997829	-0.024740	-1171.129260	0.022652	0.999308	43.703431
8	1	9	1	0	1.348323	0.989750	0.999453	-0.024091	-44.387334	0.022963	0.999696	897.312112
8	1	6	1	2	1.295468	0.000000	0.997086	-0.022206	0.000000	0.022925	0.998621	0.000000
8	1	7	1	0	1.313465	1.167226	0.999063	-0.022551	-53.305441	0.023258	0.998861	-820.348976
8	1	5	1	0	1.308331	0.842340	0.997228	-0.022827	-1193.314705	0.022770	0.999255	39.071993
8	1	8	1	0	1.329001	2.286707	0.999263	-0.023366	-48.906650	0.023008	0.999650	36.207454
7	1	6	1	2	1.264624	0.293225	0.997269	-0.021171	0.000000	0.022895	0.998887	0.000000
7	1	8	1	0	1.298170	0.765931	0.999447	-0.022329	-66.973729	0.022979	0.999916	899.025622
6	1	8	1	2	1.315089	0.000000	1.000570	-0.022325	0.000000	0.023597	0.999807	0.000000
7	1	7	1	0	1.282650	1.613939	0.999247	-0.021515	-69.657293	0.023229	0.999127	41.554271
6	1	7	1	0	1.299557	0.996199	1.000371	-0.021511	1073.837503	0.023846	0.999018	62.239073
6	1	5	1	2	1.294476	0.223654	0.998533	-0.021789	0.000000	0.023358	0.999412	0.000000
6	1	6	1	0	1.281560	1.888486	0.998391	-0.021167	-73.978001	0.023512	0.998778	65.612711
5	1	7	1	2	1.327699	0.000000	1.000114	-0.022602	0.000000	0.023722	0.998603	0.000000
5	1	8	1	0	1.343224	1.211977	1.000313	-0.023417	1094.863982	0.023472	0.999391	57.583761
5	1	6	1	0	1.309700	1.044762	0.998134	-0.022257	-55.043648	0.023388	0.998362	-795.939762
5	1	4	1	2	1.373881	0.280889	0.998772	-0.024680	0.000000	0.023250	0.999698	0.000000
4	1	8	1	2	1.342972	0.000000	1.000425	-0.023515	0.000000	0.023369	0.999441	0.000000
4	1	9	1	0	1.362281	0.677286	1.000616	-0.024240	1115.334609	0.023324	0.999487	59.955137
5	1	5	1	0	1.322580	1.602721	0.998277	-0.022878	-51.851846	0.023234	0.998996	59.194790
4	1	5	1	0	1.322330	1.594431	0.998389	-0.022976	-33.794208	0.023131	0.999046	-796.550370
4	1	3	1	0	1.328398	0.529745	0.999506	-0.022741	-21.163938	0.023630	1.000186	892.571688
4	1	4	1	0	1.373626	1.612134	0.998885	-0.024778	-29.920596	0.023147	0.999748	63.644897
3	1	9	1	2	1.337170	0.000000	1.000308	-0.023710	0.000000	0.022958	0.998984	0.000000
3	1	10	1	0	1.288821	0.517593	0.999839	-0.022119	1133.864119	0.022862	0.999498	56.125126
3	1	4	1	0	1.348501	0.761025	0.998578	-0.024248	-13.483400	0.022781	0.999245	-796.963273
