Err	Aall	Asam	Adwn
0.1000	92	88	4
0.2000	149	136	13
0.3000	169	136	33
0.4000	120	88	32
0.5000	106	78	28
0.6000	63	40	23
0.7000	45	29	16
0.8000	35	16	19
0.9000	24	11	13
1.0000	22	8	14
1.1000	21	5	16
1.2000	9	5	4
1.3000	6	0	6
1.4000	2	0	2
1.5000	4	0	4
1.6000	2	0	2
1.7000	3	1	2
1.8000	7	1	6
1.9000	0	0	0
2.0000	2	0	2
2.1000	1	0	1
2.2000	1	0	1
2.3000	0	0	0
2.4000	1	0	1
2.5000	1	0	1
2.6000	2	0	2
2.7000	1	0	1
2.8000	1	0	1
2.9000	0	0	0
3.0000	0	0	0
3.1000	0	0	0
3.2000	0	0	0
3.3000	0	0	0
3.4000	0	0	0
3.5000	0	0	0
3.6000	0	0	0
3.7000	0	0	0
3.8000	0	0	0
3.9000	0	0	0
4.0000	0	0	0
4.1000	0	0	0
4.2000	0	0	0
4.3000	0	0	0
4.4000	0	0	0
4.5000	1	0	1
4.6000	0	0	0
4.7000	0	0	0
4.8000	0	0	0
4.9000	0	0	0
5.0000	0	0	0
5.1000	0	0	0
